transaction_id,category,budget,amount,category_match,quantity_match,time_match,merchant_trust,historical_success,previous_violations,intent_similarity,violation_type,authorized
TXN00030,laptop,77569,73191,1,1,1,0.67,0.43,4,0.82,none,1
TXN00031,headphones,9981,7711,1,1,1,0.46,0.47,4,0.85,none,1
TXN00032,laptop,82183,64317,1,1,1,0.52,0.56,5,0.56,merchant_violation,0
TXN00033,shoes,35814,27583,1,1,1,0.51,0.59,0,0.8,none,1
TXN00034,smartphone,10602,6934,1,1,1,0.39,0.61,0,0.98,none,1
TXN00035,flight,38353,32667,1,1,1,0.73,0.99,5,0.46,merchant_violation,0
TXN00036,hotel,87951,55605,0,1,1,0.92,0.85,1,0.34,category_mismatch,0
TXN00037,shoes,95058,74263,1,1,1,0.9,0.7,2,0.98,none,1
TXN00038,laptop,13097,11532,1,1,1,0.33,0.6,1,0.93,none,1
TXN00039,hotel,22178,15218,1,1,1,0.6,0.41,0,0.99,none,1
TXN00040,headphones,72511,57374,1,0,1,0.4,0.48,2,0.38,quantity_violation,0
TXN00041,laptop,47898,39921,0,1,1,0.55,0.74,3,0.69,category_mismatch,0
TXN00042,headphones,32029,31495,1,1,1,0.87,0.93,0,0.84,none,1
TXN00043,flight,54964,49733,1,1,1,0.87,0.56,5,0.82,none,1
TXN00044,laptop,62694,42307,1,1,0,0.87,0.92,1,0.21,time_violation,0
TXN00045,shoes,53227,48172,1,1,1,0.98,0.57,5,0.9,none,1
TXN00046,flight,4617,2720,1,0,1,0.97,0.56,0,0.5,quantity_violation,0
TXN00047,flight,96491,58422,1,1,1,0.99,0.47,4,0.84,none,1
TXN00048,laptop,93901,62345,1,1,1,0.86,0.81,5,0.95,none,1
TXN00049,shoes,48739,46994,1,1,1,0.94,0.77,5,0.97,none,1
TXN00050,hotel,67469,39528,1,1,1,0.58,0.58,1,0.84,none,1
TXN00051,groceries,89777,37869,1,1,1,0.7,0.64,0,0.86,none,1
TXN00052,shoes,57346,41556,1,1,1,0.53,0.67,5,0.84,none,1
TXN00053,books,97463,123080,1,1,1,0.76,0.77,0,0.61,budget_violation,0
TXN00054,shoes,89184,77107,1,1,1,0.4,0.43,3,0.92,none,1
TXN00055,smartphone,60692,44962,1,1,1,0.44,0.82,3,0.88,none,1
TXN00056,headphones,86990,80453,1,1,1,0.9,0.93,3,0.84,none,1
TXN00057,books,7582,7143,1,1,1,0.38,0.48,3,0.93,none,1
TXN00058,flight,99992,72879,1,1,1,0.8,0.7,4,0.89,none,1
TXN00059,headphones,98472,60565,1,1,1,0.83,0.9,2,0.95,none,1
TXN00060,books,83149,44795,1,1,0,0.5,0.56,2,0.65,time_violation,0
TXN00061,smartphone,19136,16207,1,1,0,0.79,0.44,3,0.37,time_violation,0
TXN00062,books,55496,38555,1,1,0,0.84,0.97,0,0.63,time_violation,0
TXN00063,groceries,63518,41242,1,0,1,0.57,0.93,3,0.47,quantity_violation,0
TXN00064,shoes,64993,48278,1,1,0,0.57,0.8,3,0.56,time_violation,0
TXN00065,books,17728,11946,1,1,1,0.93,0.76,5,0.81,none,1
TXN00066,groceries,18786,8025,1,1,1,0.48,0.6,3,0.87,none,1
TXN00067,groceries,37471,33062,1,1,1,0.48,0.45,0,0.95,none,1
TXN00068,laptop,46870,76675,1,1,1,0.76,0.85,1,0.3,budget_violation,0
TXN00069,laptop,82439,60739,0,1,1,0.38,0.97,3,0.55,category_mismatch,0
TXN00070,flight,22992,22408,1,1,1,0.8,0.87,1,0.99,none,1
TXN00071,smartphone,76849,60549,1,0,1,0.94,0.63,5,0.3,quantity_violation,0
TXN00072,shoes,14356,7337,1,1,1,0.78,0.88,4,0.96,none,1
TXN00073,flight,70827,39620,1,1,1,0.65,0.6,3,0.96,none,1
TXN00074,smartphone,57822,43072,1,1,1,0.88,0.82,3,0.84,none,1
TXN00075,hotel,81728,55307,1,1,1,0.64,0.66,5,0.92,none,1
TXN00076,flight,33177,11965,1,1,1,0.92,0.55,3,0.91,none,1
TXN00077,groceries,45092,26645,1,0,1,0.45,0.88,2,0.34,quantity_violation,0
TXN00078,hotel,73848,40085,0,1,1,0.8,0.69,1,0.55,category_mismatch,0
TXN00079,books,59743,21814,1,1,1,0.46,0.82,2,0.93,none,1
TXN00080,flight,63031,34076,1,1,1,1.0,0.73,2,0.94,none,1
TXN00081,hotel,41189,65530,1,1,1,0.52,0.85,5,0.29,budget_violation,0
TXN00082,shoes,97810,78953,1,1,1,0.98,0.71,2,1.0,none,1
TXN00083,shoes,39829,25934,0,1,1,0.8,0.48,0,0.69,category_mismatch,0
TXN00084,hotel,92411,68985,1,1,1,0.83,0.46,0,0.91,none,1
TXN00085,books,63746,27350,1,1,1,0.34,0.96,3,0.82,none,1
TXN00086,smartphone,53521,37674,1,1,1,0.78,0.49,4,0.99,none,1
TXN00087,smartphone,33530,26929,1,1,0,0.85,0.54,4,0.39,time_violation,0
TXN00088,books,39974,39695,1,1,1,0.51,0.77,4,0.99,none,1
TXN00089,smartphone,28235,13701,1,1,1,0.36,0.54,4,0.82,none,1
TXN00090,laptop,54545,39036,1,1,1,0.5,0.54,5,0.86,none,1
TXN00091,books,10329,9778,1,1,1,0.85,0.78,5,0.96,none,1
TXN00092,shoes,56723,46729,0,1,1,0.94,0.9,0,0.23,category_mismatch,0
TXN00093,hotel,78993,55172,1,1,1,0.5,0.47,5,0.86,none,1
TXN00094,groceries,36683,23684,1,1,1,0.36,0.42,3,0.95,none,1
TXN00095,hotel,4390,3483,1,1,1,0.31,0.86,2,0.49,merchant_violation,0
TXN00096,headphones,62669,38200,1,1,1,0.49,1.0,3,0.93,none,1
TXN00097,books,12959,7591,1,1,1,0.52,0.46,1,0.87,none,1
TXN00098,books,38777,22502,1,1,1,0.83,0.42,0,0.86,none,1
TXN00099,flight,16194,9439,1,1,1,0.66,0.99,5,0.97,none,1
TXN00100,books,55165,37561,1,1,1,0.83,0.78,0,0.3,merchant_violation,0
TXN00101,headphones,38752,30566,1,1,1,0.38,0.98,4,0.96,none,1
TXN00102,headphones,41730,28650,1,1,1,0.37,1.0,0,0.89,none,1
TXN00103,smartphone,85896,55734,1,1,1,0.8,0.71,2,0.88,none,1
TXN00104,books,62894,35995,1,1,1,0.43,0.76,5,0.64,merchant_violation,0
TXN00105,smartphone,37208,33416,1,1,1,0.54,0.87,2,0.96,none,1
TXN00106,hotel,96164,75965,1,1,1,0.76,0.92,3,0.47,merchant_violation,0
TXN00107,flight,44573,30327,1,1,1,0.62,0.59,1,1.0,none,1
TXN00108,shoes,75946,68291,1,1,1,0.59,0.59,3,0.94,none,1
TXN00109,groceries,51604,44104,1,1,1,0.76,0.49,0,0.83,none,1
TXN00110,flight,14154,8608,1,1,1,0.67,0.67,5,0.83,none,1
TXN00111,headphones,10807,10574,1,1,1,0.54,0.82,5,0.82,none,1
TXN00112,flight,89389,50594,1,1,1,0.52,0.83,3,0.97,none,1
TXN00113,laptop,81931,81825,1,0,1,0.82,0.66,0,0.58,quantity_violation,0
TXN00114,smartphone,59153,56296,1,0,1,0.33,0.88,2,0.38,quantity_violation,0
TXN00115,groceries,20080,15721,1,1,0,0.85,0.5,0,0.5,time_violation,0
TXN00116,groceries,82226,53312,1,1,1,0.71,0.54,5,0.85,none,1
TXN00117,hotel,88404,84037,1,1,0,0.77,0.49,3,0.67,time_violation,0
TXN00118,hotel,84746,66374,1,1,1,0.62,0.58,3,0.97,none,1
TXN00119,smartphone,32091,17690,1,1,1,0.51,0.82,0,1.0,none,1
TXN00120,groceries,36976,64078,1,1,1,0.82,0.9,2,0.59,budget_violation,0
TXN00121,shoes,80569,36522,1,1,1,0.43,0.55,5,0.95,none,1
TXN00122,headphones,83345,106823,1,1,1,0.61,0.75,5,0.27,budget_violation,0
TXN00123,hotel,43823,18534,1,1,1,0.39,0.72,2,0.91,none,1
TXN00124,hotel,22567,22198,1,1,0,0.51,0.92,0,0.43,time_violation,0
TXN00125,smartphone,19449,8906,1,1,1,0.77,0.8,3,0.99,none,1
TXN00126,flight,12836,3975,1,1,1,0.68,0.67,5,0.95,none,1
TXN00127,hotel,77619,57980,1,1,1,0.56,0.8,3,0.81,none,1
TXN00128,flight,80964,123595,1,1,1,0.62,0.82,5,0.4,budget_violation,0
TXN00129,headphones,6943,3562,1,1,1,0.64,0.46,4,0.83,none,1
TXN00130,books,49629,40705,1,1,1,0.96,0.65,5,0.95,none,1
TXN00131,groceries,86841,70152,1,1,0,0.96,0.57,5,0.39,time_violation,0
TXN00132,books,59287,53288,1,1,1,0.37,0.81,4,0.98,none,1
TXN00133,flight,8936,3868,1,1,1,0.39,0.91,3,0.82,none,1
TXN00134,shoes,85109,83386,1,1,1,0.34,0.6,1,0.96,none,1
TXN00135,shoes,9992,6873,1,1,1,0.71,0.89,1,0.87,none,1
TXN00136,headphones,79116,78622,0,1,1,0.68,0.88,0,0.53,category_mismatch,0
TXN00137,laptop,18275,14518,0,1,1,0.31,0.56,1,0.57,category_mismatch,0
TXN00138,smartphone,98735,87776,1,1,0,0.66,0.47,4,0.31,time_violation,0
TXN00139,laptop,96321,87352,1,1,1,0.67,0.67,0,0.81,none,1
TXN00140,books,53640,20145,1,1,1,0.8,0.67,0,0.86,none,1
TXN00141,headphones,9609,7846,1,1,1,0.68,0.6,4,0.47,merchant_violation,0
TXN00142,books,67263,24848,1,1,1,0.79,0.91,5,0.98,none,1
TXN00143,shoes,57370,26387,1,1,1,0.54,0.67,3,0.95,none,1
TXN00144,flight,56936,27239,1,1,1,0.97,0.81,3,0.81,none,1
TXN00145,smartphone,13219,10855,1,1,1,0.56,0.48,0,0.92,none,1
TXN00146,flight,88819,83205,1,0,1,0.96,0.65,5,0.23,quantity_violation,0
TXN00147,hotel,79696,29688,1,1,1,0.66,0.49,3,0.84,none,1
TXN00148,smartphone,46890,26131,1,1,1,0.83,0.74,3,0.97,none,1
TXN00149,laptop,80822,71173,1,1,1,0.49,0.51,5,0.95,none,1
TXN00150,flight,47009,36815,0,1,1,0.58,0.49,5,0.69,category_mismatch,0
TXN00151,smartphone,98794,55654,1,1,1,0.62,0.49,2,0.94,none,1
TXN00152,smartphone,7895,4143,1,1,1,0.36,0.67,3,0.44,merchant_violation,0
TXN00153,books,55287,30789,1,1,1,0.6,0.57,5,0.5,merchant_violation,0
TXN00154,hotel,6952,3666,1,1,1,0.44,0.97,1,0.58,merchant_violation,0
TXN00155,hotel,44007,38440,1,1,0,0.42,0.63,5,0.32,time_violation,0
TXN00156,flight,10447,8560,1,1,1,0.61,0.68,0,0.97,none,1
TXN00157,groceries,76156,56972,1,1,1,0.5,0.64,2,0.83,none,1
TXN00158,books,91388,33054,1,1,1,0.89,0.55,4,0.88,none,1
TXN00159,smartphone,52873,43464,1,1,1,0.46,0.87,0,0.9,none,1
TXN00160,smartphone,70547,65901,1,1,1,0.54,0.84,5,0.96,none,1
TXN00161,shoes,14474,8492,0,1,1,0.41,0.86,0,0.29,category_mismatch,0
TXN00162,books,61811,51421,1,1,1,0.61,0.95,4,0.93,none,1
TXN00163,flight,83210,50577,1,1,1,0.63,0.78,2,0.92,none,1
TXN00164,flight,67497,48999,1,1,0,0.34,0.9,0,0.52,time_violation,0
TXN00165,smartphone,81610,46447,1,1,1,0.71,0.97,5,0.98,none,1
TXN00166,books,75928,39867,1,1,1,0.63,0.49,0,0.89,none,1
TXN00167,flight,94626,49164,0,1,1,0.8,0.99,4,0.46,category_mismatch,0
TXN00168,headphones,48696,24251,1,1,1,0.59,0.6,4,0.81,none,1
TXN00169,flight,9639,6656,1,1,1,0.57,0.55,5,0.99,none,1
TXN00170,headphones,44694,42833,0,1,1,0.52,0.79,5,0.4,category_mismatch,0
TXN00171,smartphone,41577,31201,1,1,1,0.53,0.48,5,0.97,none,1
TXN00172,smartphone,85675,56197,1,1,1,0.31,0.59,1,0.87,none,1
TXN00173,books,26166,15110,0,1,1,0.51,0.87,4,0.59,category_mismatch,0
TXN00174,laptop,87760,73403,1,1,1,0.39,0.63,1,0.84,none,1
TXN00175,headphones,95526,56131,1,1,1,0.77,0.54,3,0.92,none,1
TXN00176,books,31671,16362,1,1,1,0.87,0.68,1,0.87,none,1
TXN00177,books,61513,51959,1,1,1,0.65,0.65,1,0.96,none,1
TXN00178,headphones,33768,31642,1,1,0,0.69,0.46,4,0.63,time_violation,0
TXN00179,hotel,11993,5888,1,1,1,0.93,0.49,3,0.82,none,1
TXN00180,shoes,60130,57203,1,1,1,0.59,0.64,2,0.85,none,1
TXN00181,smartphone,50140,48405,1,0,1,0.89,0.79,1,0.27,quantity_violation,0
TXN00182,hotel,62925,24990,1,1,1,0.79,0.67,0,0.98,none,1
TXN00183,laptop,34544,26750,0,1,1,0.81,0.72,0,0.59,category_mismatch,0
TXN00184,shoes,40472,28731,0,1,1,0.86,0.67,0,0.62,category_mismatch,0
TXN00185,books,79215,58806,1,1,1,0.7,0.83,2,0.89,none,1
TXN00186,flight,32531,14024,1,1,1,0.77,0.71,2,0.81,none,1
TXN00187,laptop,52177,17243,1,1,1,0.57,0.62,5,0.8,none,1
TXN00188,smartphone,46193,75231,1,1,1,0.81,0.6,0,0.38,budget_violation,0
TXN00189,flight,85252,84434,1,1,0,0.63,0.51,1,0.23,time_violation,0
TXN00190,books,5847,9608,1,1,1,0.92,0.59,2,0.46,budget_violation,0
TXN00191,books,34202,21993,0,1,1,0.9,0.43,5,0.37,category_mismatch,0
TXN00192,smartphone,49237,28558,1,1,1,0.61,0.97,2,0.99,none,1
TXN00193,books,91710,86850,1,1,1,0.66,0.88,5,0.88,none,1
TXN00194,groceries,79964,34090,1,1,1,0.51,0.46,2,0.93,none,1
TXN00195,hotel,59447,35566,1,1,1,0.78,0.61,0,0.95,none,1
TXN00196,flight,81589,40157,1,1,1,0.99,0.97,0,0.93,none,1
TXN00197,groceries,48619,40107,1,1,1,0.41,0.42,4,0.94,none,1
TXN00198,books,5561,4945,0,1,1,0.56,0.63,4,0.22,category_mismatch,0
TXN00199,headphones,90006,50374,1,1,1,0.61,0.45,1,0.91,none,1
TXN00200,groceries,42207,20036,1,1,1,0.38,0.84,3,0.9,none,1
TXN00201,smartphone,35311,27995,1,1,1,0.45,0.77,5,0.98,none,1
TXN00202,books,27237,37833,1,1,1,0.93,0.67,0,0.61,budget_violation,0
TXN00203,flight,88535,30585,1,1,1,0.68,0.93,1,0.94,none,1
TXN00204,headphones,48381,18624,1,1,1,0.44,0.48,3,0.81,none,1
TXN00205,flight,62263,42721,1,1,1,0.73,0.45,2,0.88,none,1
TXN00206,books,69903,41005,1,1,1,0.7,0.48,2,0.93,none,1
TXN00207,books,62057,33582,1,1,1,0.91,0.87,5,0.92,none,1
TXN00208,headphones,57704,52380,1,1,1,0.88,0.71,2,0.83,none,1
TXN00209,flight,93973,89035,1,1,1,0.89,0.55,5,0.68,merchant_violation,0
TXN00210,hotel,17406,12708,1,1,1,0.37,0.78,4,0.99,none,1
TXN00211,headphones,23439,18855,1,1,1,0.72,0.91,4,0.81,none,1
TXN00212,laptop,11646,7364,1,1,1,0.45,0.74,4,0.52,merchant_violation,0
TXN00213,books,83203,62346,1,1,1,0.51,0.55,5,0.88,none,1
TXN00214,books,10564,4338,1,1,1,0.59,0.68,2,0.92,none,1
TXN00215,flight,95157,94359,1,1,1,0.54,0.64,2,0.9,none,1
TXN00216,smartphone,42827,53559,1,1,1,0.47,0.46,2,0.67,budget_violation,0
TXN00217,groceries,33541,31247,1,1,1,0.87,0.96,5,0.86,none,1
TXN00218,headphones,66308,41559,1,1,1,0.92,0.7,0,0.99,none,1
TXN00219,books,32552,17067,1,0,1,0.5,0.76,5,0.54,quantity_violation,0
TXN00220,hotel,71345,97970,1,1,1,0.92,0.84,3,0.38,budget_violation,0
TXN00221,groceries,7705,3361,1,1,1,0.69,0.44,4,0.89,none,1
TXN00222,hotel,82689,31683,1,1,1,0.98,0.64,2,0.91,none,1
TXN00223,flight,99954,75421,1,1,1,0.65,0.43,1,0.56,merchant_violation,0
TXN00224,books,69069,50032,1,1,1,0.66,0.6,4,0.86,none,1
TXN00225,groceries,81805,41676,1,1,1,0.54,0.9,4,0.9,none,1
TXN00226,hotel,63245,35281,1,1,1,0.77,0.99,4,0.86,none,1
TXN00227,laptop,79238,77411,1,1,1,0.85,0.87,4,0.85,none,1
TXN00228,laptop,77483,51678,1,1,1,0.8,0.86,3,0.83,none,1
TXN00229,shoes,5138,4060,1,1,1,0.43,0.66,3,0.83,none,1
TXN00230,shoes,54788,39887,1,1,1,0.63,0.91,5,0.81,none,1
TXN00231,headphones,68984,68919,1,0,1,0.63,0.63,1,0.43,quantity_violation,0
TXN00232,flight,72601,61013,1,1,1,0.8,0.79,5,0.85,none,1
TXN00233,books,26200,12976,1,1,1,0.51,0.96,2,0.95,none,1
TXN00234,shoes,91471,47741,1,1,1,0.54,0.96,5,0.85,none,1
TXN00235,smartphone,76166,43093,1,1,1,0.99,0.89,1,0.86,none,1
TXN00236,hotel,94603,78329,1,1,0,0.82,0.53,4,0.34,time_violation,0
TXN00237,hotel,18992,11768,1,1,1,0.34,0.94,1,0.52,merchant_violation,0
TXN00238,laptop,14133,11336,1,1,1,0.37,0.86,0,0.99,none,1
TXN00239,headphones,54334,49794,1,1,1,0.63,0.79,2,0.86,none,1
TXN00240,laptop,12725,5886,1,1,1,0.82,0.91,0,0.98,none,1
TXN00241,headphones,55773,23594,1,1,1,0.94,1.0,3,0.96,none,1
TXN00242,headphones,99173,94038,1,1,1,0.91,0.41,4,0.92,none,1
TXN00243,flight,38298,28682,1,1,1,0.67,0.93,1,0.97,none,1
TXN00244,books,36761,47716,1,1,1,0.81,0.79,5,0.29,budget_violation,0
TXN00245,flight,39669,32929,1,1,1,0.42,0.91,3,0.97,none,1
TXN00246,flight,12368,4536,1,1,1,0.99,0.69,1,0.8,none,1
TXN00247,groceries,31870,15517,1,1,1,0.53,0.75,4,0.8,none,1
TXN00248,flight,91802,128435,1,1,1,0.41,0.81,5,0.58,budget_violation,0
TXN00249,smartphone,84717,42911,1,1,1,0.73,0.53,1,0.9,none,1
TXN00250,books,99007,55596,1,1,1,0.79,0.95,4,0.96,none,1
TXN00251,shoes,33435,23975,1,1,1,0.85,0.72,4,0.94,none,1
TXN00252,smartphone,74946,71306,1,1,1,0.44,0.72,1,0.36,merchant_violation,0
TXN00253,books,16235,13017,1,1,1,0.64,0.94,3,0.96,none,1
TXN00254,books,18294,11337,1,1,1,0.34,0.68,2,0.94,none,1
TXN00255,groceries,34352,28239,1,1,1,0.7,0.43,2,0.94,none,1
TXN00256,laptop,10046,6333,1,1,1,0.5,0.51,1,0.95,none,1
TXN00257,groceries,50081,28432,1,1,1,0.91,0.94,3,0.82,none,1
TXN00258,headphones,86660,33194,1,1,1,0.99,0.64,1,0.95,none,1
TXN00259,shoes,1455,1433,1,1,1,0.62,0.83,3,0.91,none,1
TXN00260,shoes,33441,13663,1,1,1,0.43,0.93,0,0.81,none,1
TXN00261,groceries,81599,74959,1,1,1,0.31,0.52,0,0.92,none,1
TXN00262,books,79352,72253,1,1,1,0.47,0.43,3,0.85,none,1
TXN00263,shoes,99878,33909,1,1,1,0.65,0.57,5,0.92,none,1
TXN00264,flight,32051,12829,1,1,1,0.76,0.53,2,0.86,none,1
TXN00265,headphones,83050,57229,1,1,1,0.33,0.61,5,0.93,none,1
TXN00266,flight,92266,37317,1,1,1,0.56,0.85,3,0.85,none,1
TXN00267,shoes,40418,16209,1,1,1,0.62,0.43,3,0.99,none,1
TXN00268,headphones,51910,34526,0,1,1,0.36,0.67,2,0.25,category_mismatch,0
TXN00269,shoes,7755,6215,1,1,1,0.91,0.51,4,0.56,merchant_violation,0
TXN00270,shoes,63835,41594,1,0,1,0.94,0.53,1,0.68,quantity_violation,0
TXN00271,smartphone,98894,62821,1,1,1,0.47,0.76,1,0.88,none,1
TXN00272,shoes,73362,36544,1,1,1,0.63,0.79,2,0.85,none,1
TXN00273,books,62080,54680,1,1,0,0.52,0.52,2,0.41,time_violation,0
TXN00274,shoes,98157,76234,1,0,1,0.71,0.83,2,0.28,quantity_violation,0
TXN00275,flight,31149,27515,1,1,1,0.65,0.79,5,0.87,none,1
TXN00276,books,95838,61663,1,1,1,0.42,0.88,1,0.83,none,1
TXN00277,books,25123,17070,1,1,1,0.75,0.44,0,0.97,none,1
TXN00278,smartphone,88584,120411,1,1,1,0.89,0.54,5,0.28,budget_violation,0
TXN00279,shoes,67287,23033,1,1,1,0.75,0.96,3,0.93,none,1
TXN00280,laptop,1866,1097,1,1,1,0.31,0.83,4,1.0,none,1
TXN00281,laptop,66826,51577,1,1,1,0.86,0.95,0,0.98,none,1
TXN00282,headphones,32584,20404,1,1,1,0.55,0.88,0,0.39,merchant_violation,0
TXN00283,groceries,61161,60742,1,1,1,0.46,0.81,0,0.93,none,1
TXN00284,laptop,13255,7476,1,1,1,0.63,0.78,5,0.83,none,1
TXN00285,books,57873,30782,1,1,1,0.98,0.98,4,0.98,none,1
TXN00286,shoes,28710,22525,1,1,1,0.7,0.56,0,0.94,none,1
TXN00287,hotel,72176,23315,1,1,1,0.95,0.59,1,0.92,none,1
TXN00288,groceries,11084,6874,1,1,1,0.88,0.63,4,0.37,merchant_violation,0
TXN00289,headphones,91349,59427,1,1,1,0.98,0.43,3,0.85,none,1
TXN00290,smartphone,45642,33305,1,1,1,0.72,0.98,2,0.81,none,1
TXN00291,hotel,60054,32973,1,1,1,0.96,0.66,5,0.92,none,1
TXN00292,groceries,12232,6198,1,1,1,0.47,0.44,2,0.83,none,1
TXN00293,headphones,97948,54115,1,1,1,0.36,0.97,3,0.87,none,1
TXN00294,hotel,14399,10302,0,1,1,0.69,0.71,0,0.21,category_mismatch,0
TXN00295,flight,73642,65704,1,1,1,0.9,0.41,3,0.39,merchant_violation,0
TXN00296,smartphone,96006,89635,1,1,1,0.98,0.74,1,0.94,none,1
TXN00297,headphones,19198,14332,1,0,1,0.34,0.66,3,0.35,quantity_violation,0
TXN00298,smartphone,48333,41588,0,1,1,0.65,0.77,3,0.25,category_mismatch,0
TXN00299,hotel,1887,1004,1,1,1,0.73,0.88,2,0.89,none,1
TXN00300,groceries,86332,34125,1,1,1,0.52,0.97,1,0.9,none,1
TXN00301,headphones,53198,26812,1,1,1,0.79,0.69,4,0.96,none,1
TXN00302,flight,50290,34323,1,1,0,0.95,0.52,4,0.29,time_violation,0
TXN00303,laptop,96317,76654,1,1,1,0.61,0.57,5,0.81,none,1
TXN00304,groceries,89208,66311,1,1,1,0.47,0.8,5,0.88,none,1
TXN00305,groceries,10694,7684,1,1,1,0.71,0.72,5,0.88,none,1
TXN00306,laptop,48124,41800,1,1,1,0.72,0.95,0,0.95,none,1
TXN00307,flight,22802,7547,1,1,1,0.99,0.81,3,0.99,none,1
TXN00308,flight,57420,71433,1,1,1,0.66,0.71,4,0.54,budget_violation,0
TXN00309,shoes,59429,37092,1,1,1,0.78,0.81,1,0.87,none,1
TXN00310,laptop,64277,61723,1,1,0,0.36,0.9,5,0.27,time_violation,0
TXN00311,hotel,45966,20446,1,1,1,0.64,0.69,3,0.94,none,1
TXN00312,books,42800,70946,1,1,1,0.38,0.91,5,0.25,budget_violation,0
TXN00313,headphones,98057,76087,0,1,1,0.53,0.66,3,0.32,category_mismatch,0
TXN00314,groceries,83543,58295,1,1,0,0.82,0.93,3,0.5,time_violation,0
TXN00315,groceries,1583,702,1,1,1,0.83,0.89,0,0.92,none,1
TXN00316,headphones,48945,30359,1,1,1,0.48,0.92,4,0.99,none,1
TXN00317,flight,79246,45549,1,1,1,0.38,0.61,3,0.92,none,1
TXN00318,hotel,81541,62825,1,1,1,0.52,0.54,0,0.84,none,1
TXN00319,headphones,67954,48756,1,1,1,0.7,0.65,3,0.93,none,1
TXN00320,headphones,73733,42038,1,0,1,0.52,0.67,0,0.63,quantity_violation,0
TXN00321,laptop,64518,63351,1,1,0,0.65,0.7,5,0.45,time_violation,0
TXN00322,books,65054,33530,1,1,1,0.83,0.58,2,0.31,merchant_violation,0
TXN00323,hotel,23047,16039,1,1,1,0.84,0.7,4,0.82,none,1
TXN00324,smartphone,36112,31644,1,1,1,0.56,0.89,0,0.95,none,1
TXN00325,books,72611,40023,1,1,0,0.88,0.85,2,0.64,time_violation,0
TXN00326,laptop,59947,82685,1,1,1,1.0,0.87,1,0.3,budget_violation,0
TXN00327,flight,94159,56468,1,1,1,0.73,0.87,1,0.96,none,1
TXN00328,flight,70767,41341,1,1,1,0.99,0.58,4,0.33,merchant_violation,0
TXN00329,smartphone,18771,15955,1,1,1,0.94,1.0,5,0.83,none,1
TXN00330,headphones,33725,30832,1,0,1,0.83,0.81,3,0.27,quantity_violation,0
TXN00331,hotel,83288,51338,1,1,1,0.74,0.93,0,0.88,none,1
TXN00332,hotel,92056,51399,1,1,1,0.97,0.6,0,0.97,none,1
TXN00333,smartphone,96804,72059,1,1,1,0.79,0.91,4,0.88,none,1
TXN00334,groceries,28767,15131,1,1,1,0.5,0.73,1,0.91,none,1
TXN00335,books,46054,38389,1,1,1,0.33,0.78,3,0.8,none,1
TXN00336,headphones,58840,58503,1,1,1,0.6,1.0,1,0.98,none,1
TXN00337,hotel,21837,19950,1,1,1,0.37,0.62,0,0.87,none,1
